Sample File	Sample Name	Well	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	Size 1	Size 2	Size 3	Size 4	Size 5	Size 6	Size 7	Peak Area 1	Peak Area 2	Peak Area 3	Peak Area 4	Peak Area 5	Peak Area 6	Peak Area 7	Data Point 1	Data Point 2	Data Point 3	Data Point 4	Data Point 5	Data Point 6	Data Point 7	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	CC	OVL	XTLK	GQ	CV
frag_003_B07.fsa	FCR11	05-10D	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	211	218				520	321	441	257				196.85	207.11	211.46	217.85				5142	3297	4524	2350				3662	3814	3877	3970				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_005_C07.fsa	FCR12	05-10E	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	212	218				478	288	402	223				196.84	207.06	211.51	217.85				4801	2941	4231	2100				3681	3832	3896	3988				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D07.fsa	FCR13	05-10F	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	212	218				359	229	312	173				196.84	207.1	211.5	217.87				3355	2286	3115	1560				3649	3800	3863	3955				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_014_G10.fsa	FCR14	05-10G	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	197	207	212	218				129	82	125	85				196.64	207.07	211.52	218.04				1343	825	1204	807				3826	3969	4028	4115				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_016_H10.fsa	FCR15	05-10H	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	197	208	211	212				404	143	413	255				196.99	207.83	210.85	211.98				4355	1072	5443	2111				3880	4028	4068	4083				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_010_E02.fsa	FCR16	05-11A	Run_MAJSEQUENCER_2010-02-17_10-31_5959	RUB1	RhCBA15	Y	197	208	211	212				836	417	704	365				196.82	207.25	210.7	211.82				9050	3819	8658	2866				3868	4012	4058	4073				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_015_H07.fsa	FCR17	05-11B	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	212	218				614	372	514	284				196.96	207.12	211.53	217.99				6979	4146	5937	2767				3685	3834	3897	3990				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_002_A08.fsa	FCR18	05-11C	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	211	218				983	533	790	449				196.9	207.14	211.45	217.87				9348	4933	7587	4129				3645	3796	3858	3951				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_004_B08.fsa	FCR19	05-11D	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	211	218				1623	905	1335	802				196.92	207.11	211.47	217.87				15484	8668	12634	7266				3677	3828	3891	3984				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_006_C08.fsa	FCR20	05-11E	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA15	Y	197	207	211	218				590	338	463	314				196.87	207.07	211.4	217.89				5736	3345	4654	2881				3695	3847	3910	4005				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
